PSRJ,RAJ,RAJ_UNC,DECJ,DECJ_UNC,PMRA,PMRA_UNC,PMDEC,PMDEC_UNC,PX,PX_UNC,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,
,[hms],,[dms],,[mas / yr],[mas / yr],[mas / yr],[mas / yr],[mas],[mas],[MJD],(only if different from the ATNF),,
J0953+0755,09:53:09.3097,0.0019,+07:55:35.75,0.08,-2.09,0.08,29.46,0.07,3.82,0.07,46375,,PSR,
J1012+5307,10:12:33.4382,0.00063,+53:07:02.283,0.0077,2.61,0.01,-25.49,0.01,0.9,0.2,55291,Perera+ 2019,Binary PSR,
J1017-7156,10:17:51.32828,2E-05,-71:56:41.64586,0.00011,-7.31,0.06,6.76,0.05,3.9,1.2,55329.1,,PSR,
J1022+1001,10:22:57.9957,0.0001,+10:01:52.765,0.002,-14.912,0.041,5.611,0.034,1.387,0.034,55000,Deller+ 2019,PSR,
J1023+0038,10:23:47.68720,3E-05,+00:38:40.8455,0.0005,4.76,0.03,-17.34,0.04,0.731,0.022,54906,,Binary PSR,
J1024-0719,10:24:38.6673,0.00034,-07:19:19.595,0.011,-35.27,0.02,-48.22,0.04,0.8,0.1,56239,Perera+ 2019,Binary PSR,
J1035-6720,10:35:27.478,0.001,-67:20:12.692,0.006,-12,3,1,3,*,0,55716,,PSR,
J1041-1942,10:41:36.196,0.005,-19:42:13.61,0.11,-1,3,14,5,*,0,48738,,PSR,
J1045-4509,10:45:50.18696,3E-05,-45:09:54.1223,0.0004,-6.08,0.06,5.15,0.6,2.2,1.1,54500,Perera+2019,PSR,
J1047-3032,10:47:00.815,0.006,-30:32:18.00,0.1,55,54,34,69,*,0,51019,S.J.Dang+ 2020,PSR,CT
J1048+2339,10:48:43.4183,0.0002,+23:39:53.411,0.007,-16.3,1,-11.7,1.2,0.96,0.8,57205.875,Jennings+ 2018,Binary PSR,
J1057-5226,10:57:59.045,0.002,-52:26:56.33,0.02,42,5,-3,5,*,0,57600,,PSR,
J1115+5030,11:15:38.400,0.005,+50:30:12.29,0.05,22,3,-51,3,*,0,49334,,PSR,
J1116-4122,11:16:43.086,0.01,-41:22:43.96,0.1,-1,5,7,20,*,0,51360,,PSR,
J1121-5444,11:21:19.09,0.01,-54:44:05.1,0.1,-17,6,18,6,*,0,57600,,PSR,
J1125-5825,11:25:44.36564,5E-05,-58:25:16.8798,0.0004,-10,0.3,2.4,0.3,*,0,55126.3,,PSR,
J1136+1551,11:36:03.1198,0.0001,+15:51:14.183,0.001,-73.785,0.02,366.559,0.06,2.687,0.02,46407,Deller+ 2019,PSR,
J1136-5525,11:36:02.16,0.02,-55:25:06.9,0.2,10,17,43,9,*,0,57600,,PSR,
J1141-6545,11:41:07.0140,0.0002,-65:45:19.1131,0.0015,2.9,1,1.8,0.6,*,0,54637,,PSR,
J1142+0119,11:42:50.145,0.003,+01:19:35.69,0.09,-41,29,-97,66,*,0,56315,,PSR,
J1202-5820,12:02:28.325,0.005,-58:20:33.64,0.05,-14,4,1,5,*,0,57600,,PSR,
J1224-6407,12:24:22.254,0.006,-64:07:53.87,0.04,20,4,2,2,*,0,55191,,PSR,
J1227-4853,12:27:58.724,0.001,-48:53:42.741,0.003,-18.73,0.2,7.39,0.11,0.62,0.16,56707.98,,Binary PSR,
J1231-1411,12:31:11.3132,0.0007,-14:11:43.63,0.02,-62.03,0.26,6.2,0.5,*,0,55100,,PSR,
J1239+2453,12:39:40.4614,0.0012,+24:53:49.29,0.02,-104.5,1.1,49.4,1.4,1.16,0.08,46531,,PSR,
J1253-5820,12:53:28.342,0.002,-58:20:40.89,0.02,24,2,13,2,*,0,49020,,PSR,
J1257-1027,12:57:04.7625,0.0002,-10:27:05.551,0.002,-7.164,0.122,12.079,0.114,0.141,0.078,49667,Deller+ 2019,PSR,
J1300+1240,13:00:03.5767,0.0001,+12:40:56.4721,0.0003,45.5,0.05,-84.7,0.07,1.41,0.08,49750,,PSR,
J1302-6350,13:02:47.6542 ,0.001,-63:50:08.6259,0.001,-6.986,0.043,-0.416,0.044,0.418,0.03,57205.875,Jennings+ 2018,Binary PSR,
J1311-1228,13:11:52.656,0.009,-12:28:01.10,0.3,-2,8,-20,26,*,0,54371,S.J.Dang+ 2020,PSR,CT
J1312+0051,13:12:46.64232,9E-05,+00:51:00.104,0.003,-22.35,0.66,-11.2,1.5,*,0,55600,,PSR,
J1320-5359,13:20:53.921,0.003,-53:59:05.00,0.04,8,4,49,4,*,0,57600,,PSR,
J1321+8323,13:21:45.6315,0.0007,+83:23:39.432,0.001,-52.674,0.087,32.373,0.126,0.968,0.088,48889,Deller+ 2019,PSR,
J1327-0755,13:27:57.5880,0.0012,-07:55:29.80,0.04,27,18,95,48,*,0,55131,,PSR,
