#,PSRJ,PMRA,PMDEC,PX,POSEPOCH,Gl,Gb,RAJD,DECJD,P0,P1,DM,TAU_SC,S400,S1400,S2000,DIST,ZZ,XX,YY,ASSOC,SURVEY,,,,,,,,
,,[mas/yr],[mas/yr],[mas],[MJD],[deg],[deg],[deg],[deg],[s],[s/s],[cm^-3pc],[s],[mJy],[mJy],[mJy],[kpc],[kpc],[kpc],[kpc],,,,,,,,,,
1897,J1847-0443,NAN,NAN,NAN,52403,28.318,-1.361,281.96604167,-4.72672222,0.340832,2.83E-17,454.9,NAN,NAN,0.16,NAN,8.517,-0.202,4.039,1.004,NAN,pksmb,htru_pks,,,,,,,
1898,J1847-0605,NAN,NAN,NAN,51719,27.048,-1.867,281.83779583,-6.08725,0.778164,4.65E-15,207.9,NAN,NAN,0.8,NAN,4.324,-0.141,1.965,4.651,NAN,pksmb,htru_pks,,,,,,,
1899,J1848-0023,NAN,NAN,NAN,52522,32.267,0.447,282.157875,-0.38805556,0.537624,1.61E-15,30.6,NAN,NAN,0.6,NAN,1.08,0.008,0.577,7.587,NAN,pksmb,,,,,,,,
1900,J1848-0055,NAN,NAN,NAN,52353,31.798,0.171,282.18958333,-0.93138889,0.274557,1.35E-15,1166,NAN,NAN,0.19,NAN,7.408,0.022,3.903,2.204,NAN,pksmb,,,,,,,,
1901,J1848-0123,5,-26,NAN,53868,31.339,0.039,282.09828958,-1.39953611,0.659432,5.25E-15,159.53,0,79,15.2,NAN,4.4,0.003,2.288,4.742,NAN,misc,jb1,mol2,jb2,pks70,pksmb,,,
1902,J1848+0351,NAN,NAN,NAN,54620,36.058,2.366,282.176,3.85991667,0.191443,6.73E-17,336.6,NAN,NAN,0.07,NAN,11.77,0.486,6.922,-1.007,NAN,palfa,,,,,,,,
1903,J1848-0511,NAN,NAN,NAN,52777,27.945,-1.659,282.06254167,-5.19388889,1.637129,8.86E-15,418,NAN,NAN,0.4,NAN,8.799,-0.255,4.122,0.73,NAN,pksmb,htru_pks,,,,,,,
1904,J1848-0601,NAN,NAN,NAN,53041,27.221,-2.054,282.0847875,-6.01880556,0.225004,2.87E-16,496.6,NAN,NAN,0.24,NAN,15.696,-0.563,7.175,-5.449,NAN,pksmb,htru_pks,,,,,,,
1905,J1848+0604,NAN,NAN,NAN,51602,38.062,3.328,282.22759167,6.07966667,2.218603,3.74E-15,242.7,NAN,1,0.35,NAN,12.6,0.731,7.755,-1.404,NAN,ar4,pksmb,,,,,,,
1906,J1848+0647,NAN,NAN,NAN,51824,38.701,3.646,282.233375,6.79213889,0.505957,8.75E-15,27.9,NAN,2.3,0.17,NAN,1.128,0.072,0.704,7.621,NAN,ar4,pksmb,lotaas,,,,,,
1907,J1848+0826,NAN,NAN,NAN,49079.5,40.154,4.437,282.182375,8.44330556,0.328665,2.72E-16,90.68,NAN,2.8,0.11,NAN,3.864,0.299,2.484,5.556,NAN,ar3,pksmb,,,,,,,
1908,J1848-1150,NAN,NAN,NAN,53040,22.009,-4.658,282.04920833,-11.83588889,1.312218,1.43E-15,163.4,NAN,NAN,0.21,NAN,5.647,-0.459,2.109,3.282,NAN,pksmb,htru_pks,,,,,,,
1909,J1848+12,NAN,NAN,NAN,51316.7,44.072,6.454,282.125,12.83333333,0.75473,NAN,139,NAN,NAN,NAN,NAN,9.527,1.071,6.585,1.699,NAN,pkssw,,,,,,,,
1910,J1848-1243,NAN,NAN,NAN,55595,21.224,-5.081,282.07510833,-12.725,0.414383,4.41E-16,91.96,NAN,NAN,NAN,NAN,3.149,-0.279,1.135,5.576,NAN,pksmb,,,,,,,,
1911,J1848-1414,NAN,NAN,NAN,50866,19.903,-5.835,282.16314812,-14.23816322,0.29777,1.41E-17,134.47,0,13,0.6,NAN,5.261,-0.535,1.782,3.579,NAN,pks70,pkssw,htru_pks,,,,,,
1912,J1848+1516,NAN,NAN,NAN,57655,46.328,7.443,282.233875,15.27891667,2.23377,1.68E-15,77.44,NAN,1.5,NAN,NAN,3.545,0.459,2.543,6.073,NAN,misc,lotaas,,,,,,,
1913,J1848-1952,NAN,NAN,NAN,48695,14.772,-8.254,282.07514437,-19.87524559,4.30819,2.33E-14,18.23,NAN,17,NAN,NAN,0.751,-0.108,0.19,7.781,NAN,mol2,pkssw,htru_pks,,,,,,
1914,J1849-0001,NAN,NAN,NAN,55885,32.638,0.527,282.2568,-0.02151389,0.038523,1.42E-14,NAN,NAN,NAN,NAN,NAN,NAN,0,0,8.5,XRS:XMMU_J184901.6-000117,GRS:IGR_18490-,misc,,,,,,,
1915,J1849-0040,NAN,NAN,NAN,52633,32.075,0.198,282.29270833,-0.67222222,0.672481,1.11E-14,1234.9,NAN,NAN,0.2,NAN,7.776,0.027,4.129,1.911,NAN,pksmb,,,,,,,,
1916,J1849+0127,NAN,NAN,NAN,51664,34.034,1.043,282.43408333,1.45638889,0.542155,2.8E-14,207.3,0,NAN,0.46,NAN,4.691,0.085,2.625,4.613,NAN,pksmb,palfa,,,,,,,
1917,J1849-0317,NAN,NAN,NAN,51720,29.834,-1.173,282.49104167,-3.29194444,0.668408,2.2E-14,42.9,NAN,NAN,0.7,NAN,1.266,-0.026,0.63,7.402,NAN,pksmb,htru_pks,,,,,,,
1918,J1849+0409,NAN,NAN,NAN,53035,36.367,2.425,282.2644625,4.16175,0.761194,2.16E-14,56.1,NAN,NAN,0.31,NAN,1.671,0.071,0.99,7.156,NAN,pksmb,palfa,,,,,,,
1919,J1849-0614,NAN,NAN,NAN,52417,27.182,-2.469,282.43815417,-6.24208333,0.953384,5.39E-14,119.6,NAN,NAN,0.59,NAN,3.523,-0.152,1.608,5.369,NAN,pksmb,htru_pks,,,,,,,
1920,J1849-0636,NAN,NAN,NAN,48736,26.773,-2.497,282.27681528,-6.61858543,1.451319,4.62E-14,148.17,0,26,1.4,NAN,3.849,-0.168,1.732,5.067,NAN,jb1,mol2,gb3,pksmb,pks70,htru_pks,,,
1921,J1849+2423,NAN,NAN,NAN,52199,54.731,11.24,282.39448458,24.39610444,0.275641,1.53E-16,62.27,NAN,2.3,NAN,NAN,3.976,0.775,3.184,6.248,NAN,ar4,lotaas,,,,,,,
1922,J1849+2559,NAN,NAN,NAN,57785,56.238,11.866,282.44814583,25.99935,0.519263,1.8E-16,75,NAN,0.5,NAN,NAN,6.068,1.248,4.937,5.2,NAN,lotaas,,,,,,,,
1923,J1850-0006,NAN,NAN,NAN,54274.6,32.764,0.093,282.69970833,-0.10725,2.191498,4.32E-15,570,NAN,NAN,0.8,NAN,5.631,0.009,3.047,3.765,SNR:G32.45+0.1(?),pksmb,,,,,,,,
1924,J1850-0026,NAN,NAN,NAN,54263.7,32.407,0.066,282.56130833,-0.43655556,0.166634,3.91E-14,947,NAN,NAN,1.77,NAN,6.71,0.008,3.596,2.835,NAN,pksmb,,,,,,,,
1925,J1850+0026,NAN,NAN,NAN,51353,33.246,0.353,282.6881,0.44044444,1.081844,3.59E-16,201.4,0,NAN,1.5,NAN,4.047,0.025,2.219,5.115,NAN,pksmb,,,,,,,,
1926,J1850-0031,NAN,NAN,NAN,52015,32.369,-0.041,282.639125,-0.51916667,0.734185,1.26E-15,895,NAN,NAN,0.23,NAN,6.502,-0.005,3.481,3.008,NAN,pksmb,,,,,,,,
1927,J1850+0423,NAN,NAN,NAN,54600,36.718,2.231,282.597625,4.38588889,0.290716,9.14E-17,265.8,NAN,NAN,0.2,NAN,8.234,0.321,4.919,1.905,NAN,palfa,,,,,,,,
1928,J1850+1335,-15.69,-3.719,NAN,49722,44.99,6.339,282.6478066,13.59955384,0.345582,1.49E-15,60.14,NAN,6,0.8,NAN,2.167,0.239,1.523,6.977,NAN,gb3,ar3,pkssw,pksmb,lotaas,,,,
1929,J1850+15,NAN,NAN,NAN,54831,46.688,7.292,282.5375,15.53333333,1.383965,NAN,24.7,NAN,NAN,NAN,NAN,1.225,0.155,0.884,7.666,NAN,pkssw,,,,,,,,
1930,J1851-0029,NAN,NAN,NAN,54143.7,32.542,-0.335,282.97955417,-0.49947222,0.518721,4.74E-15,510,NAN,NAN,0.44,NAN,5.453,-0.032,2.933,3.903,NAN,pksmb,,,,,,,,
1931,J1851-0053,NAN,NAN,NAN,52585,32.1,-0.318,282.76320833,-0.88536111,1.409065,8.74E-16,24,NAN,NAN,0.8,NAN,0.959,-0.005,0.51,7.688,NAN,pksmb,lotaas,,,,,,,
1932,J1851-0114,NAN,NAN,NAN,53038,31.812,-0.527,282.818375,-1.23705556,0.953182,2.48E-15,427.2,NAN,NAN,0.28,NAN,5.214,-0.048,2.748,4.069,NAN,pksmb,,,,,,,,
1933,J1851+0118,NAN,NAN,NAN,51936,34.153,0.504,282.96741667,1.31638889,0.906977,1.37E-13,418,NAN,NAN,0.1,NAN,5.648,0.05,3.171,3.826,NAN,pksmb,palfa,,,,,,,
1934,J1851+0233,NAN,NAN,NAN,56700,35.181,1.232,282.78804167,2.56288889,0.344018,2.18E-15,606,NAN,NAN,0.08,NAN,12.653,0.272,7.288,-1.839,NAN,palfa,,,,,,,,
1935,J1851-0241,NAN,NAN,NAN,52300,30.515,-1.186,282.81358333,-2.69194444,0.435194,7.96E-15,515,NAN,NAN,0.2,NAN,7.922,-0.164,4.022,1.677,NAN,pksmb,,,,,,,,
1936,J1851+0418,NAN,NAN,NAN,49845,36.72,2.046,282.76374507,4.30333668,0.284697,1.09E-15,115.54,NAN,NAN,0.66,NAN,4.089,0.146,2.443,5.224,NAN,misc,pksmb,palfa,,,,,,
1937,J1851-06,NAN,NAN,NAN,NAN,26.996,-2.967,282.8,-6.63333333,1.920312,NAN,220,NAN,NAN,NAN,NAN,5.558,-0.288,2.52,3.554,NAN,htru_pks,,,,,,,,
1938,J1851-0633,NAN,NAN,NAN,NAN,27.114,-3.044,282.923525,-6.56344444,1.920302,2.4E-15,229.1,NAN,NAN,0.12,NAN,6.199,-0.329,2.821,2.99,NAN,htru_pks,fast_uwb,,,,,,,
1939,J1851+1259,NAN,NAN,NAN,49908,44.513,5.932,282.80506462,12.99313483,1.205303,1.15E-14,70.63,NAN,8,0.75,NAN,2.644,0.273,1.844,6.625,NAN,gb3,pksmb,lotaas,,,,,,
1940,J1852+0008,NAN,NAN,NAN,52584,33.198,-0.222,283.17825,0.136,0.467894,5.68E-15,254.9,NAN,NAN,0.31,NAN,4.319,-0.017,2.365,4.886,NAN,pksmb,,,,,,,,
1941,J1852+0013,NAN,NAN,NAN,52633,33.282,-0.174,283.17407917,0.23252778,0.957751,1.4E-14,545,NAN,NAN,0.3,NAN,5.581,-0.017,3.063,3.834,NAN,pksmb,,,,,,,,
1942,J1852+0031,NAN,NAN,NAN,49613,33.523,0.017,283.11425541,0.53388497,2.180195,9.7E-14,787,0.86,NAN,5.1,NAN,8,0.002,4.418,1.831,NAN,jb2,pksmb,palfa,,,,,,
1943,J1852+0033,NAN,NAN,NAN,54728.7,33.579,-0.044,283.19416667,0.55580556,11.558713,0,NAN,NAN,NAN,NAN,NAN,NAN,0,0,8.5,XRS:3XMM_J185246.6+003317,misc,,,,,,,,
1944,J1852+0040,NAN,NAN,NAN,54597,33.667,0.038,283.16070833,0.67216667,0.104913,8.68E-18,NAN,NAN,NAN,NAN,NAN,10,0.007,5.544,0.177,SNR:G33.6+0.1(Kes79),XRS:CXOU_J185238.6+,misc,,,,,,,
1945,J1852-0118,NAN,NAN,NAN,52611,31.868,-0.783,283.07145833,-1.30411111,0.451473,1.76E-15,286,NAN,NAN,0.35,NAN,4.726,-0.065,2.495,4.487,NAN,pksmb,,,,,,,,
1946,J1852-0127,NAN,NAN,NAN,52608,31.706,-0.802,283.015,-1.4565,0.428979,5.15E-15,431,NAN,NAN,0.58,NAN,5.713,-0.08,3.002,3.64,NAN,pksmb,,,,,,,,
1947,J1852+0305,NAN,NAN,NAN,51664,35.804,1.16,283.13583333,3.08472222,1.326149,1.02E-16,320,NAN,NAN,0.8,NAN,6.389,0.129,3.737,3.319,NAN,pksmb,palfa,,,,,,,
1948,J1852-0635,NAN,NAN,NAN,57600,27.224,-3.341,283.23936667,-6.600125,0.524157,1.46E-14,171,0,NAN,9.5,NAN,4.515,-0.263,2.062,4.492,NAN,pksmb,htru_pks,,,,,,,
1949,J1852-2610,NAN,NAN,NAN,50866,9.458,-11.918,283.24778276,-26.17019521,0.336337,8.77E-17,56.81,NAN,12,1.4,NAN,2.46,-0.508,0.396,6.126,NAN,pks70,pkssw,htru_pks,,,,,,
1950,J1853-0004,NAN,NAN,NAN,55446,33.086,-0.468,283.34594583,-0.07594444,0.101437,5.57E-15,437.5,NAN,NAN,0.7,NAN,5.339,-0.044,2.914,4.027,GRS:[sbc+19],pksmb,,,,,,,,
1951,J1853+0011,NAN,NAN,NAN,55163,33.338,-0.371,283.37491667,0.19183333,0.397889,3.35E-14,568.8,NAN,NAN,0.2,NAN,5.815,-0.038,3.196,3.642,NAN,pksmb,,,,,,,,
1952,J1853+0056,NAN,NAN,NAN,51665,34.017,-0.036,283.38608333,0.94972222,0.275578,2.14E-14,180.9,NAN,NAN,0.21,NAN,3.841,-0.002,2.149,5.316,NAN,pksmb,palfa,,,,,,,
1953,J1853+03,NAN,NAN,NAN,56657,35.78,1.02,283.25,3,0.58553,NAN,290.2,NAN,NAN,NAN,NAN,5.859,0.104,3.425,3.748,NAN,palfa,,,,,,,,
1954,J1853+04,NAN,NAN,NAN,NAN,36.671,1.476,283.25,4,1.32065,NAN,549.3,NAN,NAN,NAN,NAN,14.808,0.381,8.841,-3.373,NAN,palfa,,,,,,,,
1955,J1853+0505,NAN,NAN,NAN,53982,37.65,1.956,283.26816667,5.09058333,0.905137,1.28E-15,279,0.24,NAN,1.1,NAN,9.127,0.312,5.572,1.278,NAN,pksmb,,,,,,,,
1956,J1853+0545,NAN,NAN,NAN,53882,38.354,2.064,283.49337917,5.76535,0.1264,6.12E-16,198.7,0.03,NAN,2.7,NAN,6.546,0.236,4.059,3.37,NAN,pksmb,palfa,,,,,,,
1957,J1853-0649,NAN,NAN,NAN,55170,27.077,-3.545,283.355925,-6.82386111,1.048132,1.55E-15,44.54,NAN,NAN,NAN,NAN,1.285,-0.079,0.584,7.358,NAN,gb350,,,,,,,,
1958,J1853+0853,NAN,NAN,NAN,53097,41.071,3.615,283.34195833,8.88805556,3.914658,5.13E-15,214,NAN,NAN,0.11,NAN,12.648,0.797,8.293,-1.016,NAN,pksmb,,,,,,,,
1959,J1854+00,NAN,NAN,NAN,56657,33.224,-0.57,283.5,0,0.76733,NAN,532.9,NAN,NAN,NAN,NAN,5.964,-0.059,3.268,3.511,NAN,palfa,,,,,,,,
1960,J1854+0306,NAN,NAN,NAN,54944,35.992,0.834,283.51241667,3.10388889,4.55782,1.45E-13,192.4,NAN,NAN,NAN,NAN,4.498,0.066,2.643,4.861,NAN,pksmb,,,,,,,,
1961,J1854+0317,NAN,NAN,NAN,54863.5,36.209,0.824,283.62108333,3.29194444,1.36645,1.85E-15,404,NAN,NAN,0.12,NAN,7.112,0.102,4.201,2.762,NAN,pksmb,palfa,,,,,,,
1962,J1854+0319,NAN,NAN,NAN,56700,36.179,0.944,283.50045833,3.32022222,0.628541,5.51E-17,480.2,NAN,NAN,0.17,NAN,9.525,0.157,5.622,0.813,NAN,palfa,,,,,,,,
1963,J1854-0524,NAN,NAN,NAN,57737,28.511,-3.235,283.730625,-5.40641667,0.544021,1.2E-15,192,NAN,NAN,NAN,NAN,5.014,-0.283,2.39,4.101,NAN,htru_pks,,,,,,,,
1964,J1854+1050,NAN,NAN,NAN,49692,42.887,4.223,283.62222987,10.7783688,0.573197,6.39E-16,207.2,0,11,1.03,NAN,13.835,1.019,9.39,-1.609,NAN,ar2,ar3,ar4,pksmb,,,,,
1965,J1854-1421,NAN,NAN,NAN,49909,20.456,-7.209,283.68455276,-14.35734023,1.146595,4.16E-15,130.4,0,8,NAN,NAN,6.91,-0.867,2.396,2.077,NAN,mol2,pks70,pkssw,htru_pks,,,,,
1966,J1854-1557,NAN,NAN,NAN,NAN,19.018,-7.95,283.72333333,-15.96305556,3.453121,4.52E-15,150,NAN,NAN,NAN,NAN,10.896,-1.507,3.517,-1.702,NAN,htru_pks,,,,,,,,
1967,J1855+0205,NAN,NAN,NAN,54510,35.281,0.007,283.92519167,2.09344444,0.246817,6.47E-17,867.3,NAN,NAN,0.19,NAN,7.042,0.001,4.067,2.751,NAN,palfa,,,,,,,,
1968,J1855+0306,NAN,NAN,NAN,56700,36.175,0.483,283.90933333,3.10611111,1.633565,6.97E-15,634,NAN,NAN,0.06,NAN,7.479,0.063,4.414,2.463,NAN,palfa,,,,,,,,
1969,J1855+0307,NAN,NAN,NAN,52632,36.167,0.533,283.86095833,3.12227778,0.845348,1.81E-14,402.5,NAN,NAN,0.97,NAN,5.94,0.055,3.505,3.705,NAN,pksmb,palfa,,,,,,,
1970,J1855+0422,NAN,NAN,NAN,51446,37.314,1.052,283.922375,4.37972222,1.678106,9.29E-16,438,0.05,NAN,0.45,NAN,9.989,0.183,6.054,0.557,NAN,pksmb,palfa,,,,,,,
1971,J1855+0527,NAN,NAN,NAN,54248.1,38.227,1.642,283.81280417,5.46130556,1.393484,2.67E-13,362,NAN,NAN,0.24,NAN,11.706,0.335,7.241,-0.692,NAN,pksmb,,,,,,,,
1972,J1855+0700,NAN,NAN,NAN,51991,39.613,2.337,283.82383333,7.01030556,0.258685,7.52E-16,244,NAN,NAN,0.1,NAN,10.336,0.422,6.585,0.544,NAN,pksmb,,,,,,,,
1973,J1855-0941,NAN,NAN,NAN,51500,24.722,-5.241,283.81533333,-9.68388889,0.345401,2.4E-16,151.99,NAN,NAN,0.9,NAN,6.114,-0.558,2.546,2.97,NAN,pkssw,pksmb,htru_pks,,,,,,
1974,J1856+0102,NAN,NAN,NAN,52568,34.428,-0.648,284.1187625,1.03627778,0.620217,1.22E-15,554,NAN,NAN,0.38,NAN,6.54,-0.074,3.697,3.106,NAN,pksmb,palfa,,,,,,,
1975,J1856+0113,NAN,NAN,NAN,49780,34.56,-0.497,284.04438151,1.22257591,0.26744,2.08E-13,96.74,0,3.4,0.19,NAN,3.3,-0.029,1.872,5.782,SNR:W44,XRS:PWN[pks02],misc,pksmb,palfa,,,,,
1976,J1856+0245,NAN,NAN,NAN,54930,36.008,0.057,284.21208333,2.76305556,0.080907,6.21E-14,623.5,NAN,NAN,0.58,NAN,6.318,0.006,3.714,3.389,GRS:HESS_J1857+026,XRS:AX_J185651+0245,palfa,,,,,,,
1977,J1856+0404,NAN,NAN,NAN,51664,37.128,0.745,284.11083333,4.07388889,0.420252,3.71E-17,341.3,0.02,NAN,0.48,NAN,6.213,0.081,3.75,3.547,NAN,pksmb,palfa,,,,,,,
1978,J1856-0526,NAN,NAN,NAN,53095,28.636,-3.575,284.09157083,-5.44911111,0.370483,1.7E-15,130.5,NAN,NAN,0.4,NAN,4.012,-0.25,1.919,4.986,NAN,pksmb,htru_pks,,,,,,,
1979,J1856+09,NAN,NAN,NAN,NAN,41.466,3.086,284,9,2.17071,NAN,193.4,NAN,NAN,NAN,NAN,9.835,0.529,6.503,1.141,NAN,palfa,,,,,,,,
1980,J1856-3754,325.86,-59.22,8.16,52830,358.599,-17.215,284.14754167,-37.90994444,7.055203,2.98E-14,NAN,NAN,NAN,NAN,NAN,0.16,-0.047,-0.004,8.347,XRS:RX_J1856.5-3754,OPT:[kkvh11],misc,,,,,,,
1981,J1857+0057,NAN,NAN,NAN,49694,34.417,-0.805,284.25336677,0.95465933,0.356929,5.46E-17,82.39,NAN,5,0.92,NAN,2.511,-0.035,1.419,6.429,NAN,misc,ar4,pksmb,palfa,,,,,
1982,J1857+0143,NAN,NAN,NAN,52632,35.168,-0.571,284.38753333,1.72972222,0.13976,3.12E-14,249,0.04,NAN,0.74,NAN,4.566,-0.045,2.63,4.768,NAN,pksmb,palfa,,,,,,,
1983,J1857+0210,NAN,NAN,NAN,51721,35.586,-0.393,284.42041667,2.18277778,0.630983,1.4E-14,783,0.03,NAN,0.3,NAN,7.259,-0.05,4.224,2.597,NAN,pksmb,palfa,,,,,,,
1984,J1857+0212,NAN,NAN,NAN,49554,35.617,-0.39,284.43184331,2.21142021,0.415823,4.03E-14,506.77,0.01,NAN,1.6,NAN,8,-0.054,4.659,1.997,NAN,jb2,pksmb,palfa,,,,,,
1985,J1857+0300,NAN,NAN,NAN,56700,36.274,0.072,284.32045833,3.00722222,0.772678,2.65E-15,691,NAN,NAN,0.05,NAN,6.664,0.008,3.943,3.128,NAN,palfa,,,,,,,,
1986,J1857+0526,NAN,NAN,NAN,51800,38.438,1.187,284.31606667,5.44130556,0.349951,6.93E-15,466.4,0.03,NAN,0.66,NAN,12.257,0.254,7.618,-1.099,NAN,pksmb,palfa,,,,,,,
1987,J1857+0809,NAN,NAN,NAN,51991,40.839,2.446,284.28879167,8.15119444,0.502924,4.74E-15,282,NAN,NAN,0.14,NAN,13.138,0.561,8.584,-1.43,NAN,pksmb,,,,,,,,
1988,J1857-1027,NAN,NAN,NAN,51650,24.275,-6.063,284.36020833,-10.45027778,3.687219,1.05E-14,108.9,NAN,NAN,NAN,NAN,4.046,-0.427,1.654,4.832,NAN,pkssw,htru_pks,,,,,,,
1989,J1858+02,NAN,NAN,NAN,56657,35.46,-0.547,284.5,2,0.19765,NAN,492.1,NAN,NAN,NAN,NAN,6.093,-0.058,3.535,3.537,NAN,palfa,,,,,,,,
1990,J1858+0215,NAN,NAN,NAN,51720,35.725,-0.493,284.572625,2.26055556,0.745828,4.61E-15,702,0.07,NAN,0.22,NAN,7.229,-0.062,4.221,2.632,NAN,pksmb,palfa,,,,,,,
1991,J1858+0241,NAN,NAN,NAN,52111,36.18,-0.43,284.72420833,2.69388889,4.693233,2.43E-14,336,NAN,NAN,0.1,NAN,5.15,-0.039,3.04,4.343,NAN,pksmb,,,,,,,,
1992,J1858+0319,NAN,NAN,NAN,56700,36.714,-0.094,284.67033333,3.32263889,0.867444,1.03E-16,284,NAN,NAN,0.06,NAN,4.777,-0.008,2.856,4.671,NAN,palfa,,,,,,,,
1993,J1858+0346,NAN,NAN,NAN,54510,37.083,0.182,284.59316667,3.77716667,0.256844,2.04E-15,386,NAN,NAN,0.19,NAN,5.49,0.017,3.31,4.12,NAN,palfa,,,,,,,,
1994,J1858-0736,NAN,NAN,NAN,56108.5,26.964,-5.079,284.68458333,-7.61666667,0.551059,5.06E-15,194,NAN,NAN,0.3,NAN,10.144,-0.898,4.581,-0.506,NAN,pksmb,,,,,,,,
1995,J1859+00,NAN,NAN,NAN,49717,34.401,-1.587,284.94166667,0.58333333,0.559634,NAN,420,NAN,NAN,4.8,NAN,7.688,-0.213,4.342,2.159,NAN,ar4,pksmb,palfa,,,,,,
1996,J1859+0601,NAN,NAN,NAN,52503,39.245,0.903,284.94066667,6.02947222,1.044313,2.55E-14,276,NAN,NAN,0.3,NAN,6.438,0.101,4.072,3.515,NAN,pksmb,palfa,,,,,,,
1997,J1859+0603,NAN,NAN,NAN,56700,39.27,0.932,284.92554583,6.06513889,0.508561,1.59E-15,378.6,NAN,NAN,0.16,NAN,9.003,0.147,5.698,1.531,NAN,palfa,,,,,,,,
1998,J1859+07,NAN,NAN,NAN,NAN,40.022,1.514,284.75,7,NAN,NAN,303,NAN,NAN,NAN,NAN,10.297,0.272,6.62,0.617,NAN,palfa,,,,,,,,
1999,J1859+1526,NAN,NAN,NAN,49079.5,47.637,5.181,284.93495417,15.43638889,0.933972,3.93E-15,97.45,NAN,1.5,NAN,NAN,4.119,0.372,3.031,5.736,NAN,ar3,,,,,,,,
2000,J1859+7654,NAN,NAN,NAN,56500,108.364,25.911,284.90010305,76.91545353,1.393729,5.05E-17,47.25,NAN,NAN,NAN,NAN,5.985,2.615,5.109,10.196,NAN,gbncc,,,,,,,,
2001,J1900-0051,NAN,NAN,NAN,51912,33.238,-2.467,285.19435,-0.85233333,0.385194,1.42E-16,136.8,NAN,NAN,0.45,NAN,4.229,-0.182,2.316,4.966,NAN,pksmb,,,,,,,,
2002,J1900-0134,NAN,NAN,NAN,58007,32.553,-2.721,285.10905833,-1.57727778,1.832332,3.05E-14,178.1,NAN,NAN,0.2,NAN,4.854,-0.23,2.609,4.413,NAN,fast_uwb,,,,,,,,
2003,J1900+0227,NAN,NAN,NAN,51721,36.17,-0.925,285.16083333,2.45888889,0.374262,5.71E-15,201.1,NAN,NAN,0.33,NAN,4.515,-0.073,2.664,4.856,NAN,pksmb,palfa,,,,,,,
2004,J1900+0438,NAN,NAN,NAN,56700,38.067,0.169,285.055625,4.64633333,0.312314,3.23E-15,627,NAN,NAN,0.12,NAN,6.988,0.021,4.309,2.998,NAN,palfa,,,,,,,,
2005,J1900+0634,NAN,NAN,NAN,52554,39.808,0.995,285.11680833,6.57247222,0.389869,5.13E-15,323.4,NAN,NAN,0.24,NAN,8.595,0.149,5.502,1.898,NAN,pksmb,ar4,,,,,,,
2006,J1900-0933,NAN,NAN,NAN,56979,25.413,-6.346,285.12995833,-9.56336111,1.423889,2.26E-16,189,NAN,NAN,0.4,NAN,13.706,-1.515,5.846,-3.804,NAN,htru_pks,,,,,,,,
2007,J1900-2600,-19.9,-47.3,0.5,48891,10.342,-13.451,285.19825833,-26.01216667,0.612209,2.05E-16,37.99,NAN,131,15,NAN,0.7,-0.163,0.122,7.83,NAN,mol1,mol2,pks70,pkssw,htru_pks,,,,
2008,J1900+30,NAN,NAN,NAN,49717,61.757,11.802,285.075,30.88333333,0.602227,NAN,71.84,NAN,NAN,NAN,NAN,6.838,1.399,5.897,5.333,NAN,ar4,lotaas,,,,,,,
2009,J1900-7951,NAN,NAN,NAN,43565.14,314.322,-27.065,285.10166667,-79.86338889,1.279193,1.86E-15,39,NAN,6.5,NAN,NAN,2.375,-1.081,-1.513,7.022,NAN,mol2,,,,,,,,
2010,J1901+00,NAN,NAN,NAN,49717,34.469,-2.048,285.38333333,0.43333333,0.777662,NAN,345.5,NAN,NAN,0.35,NAN,7.411,-0.265,4.192,2.394,NAN,ar4,pksmb,palfa,,,,,,
2011,J1901+0124,NAN,NAN,NAN,52632,35.381,-1.677,285.4689375,1.41369444,0.318817,3.24E-15,314.4,NAN,NAN,0.3,NAN,6.597,-0.193,3.818,3.124,NAN,pksmb,,,,,,,,
2012,J1901+0156,NAN,NAN,NAN,49298,35.818,-1.367,285.39286914,1.9439489,0.288219,2.36E-15,105.39,0,13.7,0.38,NAN,3.229,-0.077,1.889,5.882,NAN,gb3,pksmb,palfa,lotaas,,,,,
2013,J1901+0234,NAN,NAN,NAN,56700,36.37,-1.048,285.36220833,2.58094444,0.88524,2.3E-14,404,NAN,NAN,0.14,NAN,7.523,-0.138,4.46,2.443,NAN,palfa,,,,,,,,
2014,J1901+0254,NAN,NAN,NAN,52626,36.643,-0.855,285.31529167,2.91138889,1.299693,4.56E-16,185,NAN,NAN,0.58,NAN,4.3,-0.064,2.566,5.05,NAN,pksmb,palfa,,,,,,,
2015,J1901-0312,NAN,NAN,NAN,52608,31.192,-3.646,285.3153125,-3.20819444,0.355725,2.29E-15,106.4,NAN,NAN,0.23,NAN,3.773,-0.24,1.95,5.279,NAN,pksmb,,,,,,,,
2016,J1901-0315,NAN,NAN,NAN,53283,31.152,-3.669,285.31804167,-3.25397222,0.801693,2.57E-15,242.6,NAN,NAN,0.09,NAN,8.445,-0.54,4.36,1.288,NAN,pksmb,,,,,,,,
2017,J1901+0320,NAN,NAN,NAN,52503,36.999,-0.613,285.26254167,3.33833333,0.636584,5.23E-16,393,NAN,NAN,0.89,NAN,5.886,-0.063,3.542,3.799,NAN,pksmb,palfa,,,,,,,
