#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;Sgamma;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[s];[mJy];[mJy];[mJy];[erg/cm2 s];[kpc];[kpc];[kpc[;[kpc];[kpc];;;TYPE
56;J1514-4946;-0.3;-30;NAN;55520;325.249;6.807;228.5796421;-49.7709767;0.003589336679675;1.8646E-20;31.05;NAN;NAN;NAN;NAN;0.17;NAN;4.5E-11;0.909;0.909;0.108;-0.514;7.758;GRS:4FGL_J1514.3-4946[fermi21];FermiAssoc;HE
57;J1531-5610;NAN;NAN;NAN;55304;323.897;0.033;232.86625;-56.18204;0.084206064052;1.379389E-14;110.41;4.9;11;NAN;NAN;0.87;NAN;1.94E-12;2.841;2.841;0.002;-1.674;6.205;GRS:4FGL_J1531.5-5612[fermi21];pksmb,htru_pks,FermiAssoc;HE[kbm+03,fermi21]
58;J1600-3053;-0.986;-7.11;0.5;55885;344.09;16.451;240.216262747;-30.89705476;0.003597928455005;9.50006E-21;52.3299;0.094;0.42;NAN;NAN;2.44;NAN;5.3E-12;2;2.535;0.566;-0.526;6.655;GRS:4FGL_J1600.9-3054[fermi21],XRS:[pb15];pkssw;HE[egc+13]
59;J1614-2230;3.81;-32.5;1.5;56047;352.636;20.192;243.65211392;-22.5086863;0.003150807655461;9.62419E-21;34.9179;NAN;NAN;NAN;NAN;0.7;NAN;2.436E-11;0.7;1.431;0.242;-0.084;7.848;GRS:4FGL_J1614.5-2230[fermi21],OPT:[bk11];misc;HE[aaa+09f]
60;J1620-4927;NAN;NAN;NAN;55225;333.888;0.408;245.173;-49.46031;0.1719346524466;1.04879E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.567E-10;NAN;NAN;0;0;8.5;GRS:4FGL_J1620.7-4927[fermi21];FermiBlind;NRAD
61;J1648-4611;NAN;NAN;NAN;55395;339.438;-0.794;252.09185;-46.18771;0.164957688311;2.37335E-14;392.3;10.9;NAN;NAN;NAN;0.61;NAN;5.436E-11;4.468;4.468;-0.062;-1.569;4.317;GRS:4FGL_J1648.4-4611[fermi21];pksmb,htru_pks;NAN
62;J1658-5324;0.2;4.9;NAN;55520;334.869;-6.625;254.6639316;-53.4019453;0.002439295909796;1.1154E-20;30.81;NAN;NAN;NAN;NAN;0.7;NAN;2.893E-11;0.88;0.88;-0.102;-0.371;7.709;GRS:4FGL_J1658.6-5323[fermi21],XRS:[pb15];FermiAssoc;HE
63;J1702-4128;NAN;NAN;NAN;51530;344.744;0.123;255.71883;-41.48006;0.182135802939;5.23448E-14;367.1;10;43;NAN;NAN;1.17;NAN;2.84E-11;3.971;3.971;0.008;-1.045;4.669;GRS:4FGL_J1702.9-4131[fermi21];pksmb,htru_pks,FermiAssoc;HE[kbm+03,fermi21]
64;J1709-4429;NAN;NAN;NAN;50042;343.098;-2.686;257.428033;-44.485622;0.102459245929;9.298454E-14;75.68;5.7;13;NAN;25;12.1;NAN;1.347E-09;2.6;2.275;-0.122;-0.755;6.015;GRS:4FGL_J1709.7-4429[fermi21],SNR:G343.1-2.3(?)[mop93],GRS:HESS_J1708-443[hok+09];pks1,pks70,pksmb,htru_pks;HE[ghd02,aaa+10m]
65;J1713+0747;4.915;-3.914;0.87;53729;28.751;25.223;258.456383442;7.793751708;0.004570136526357;8.52961E-21;15.917;0.11;0.39;4.2E-08;6.8;9.1;NAN;1.017E-11;1.149;0.915;0.49;0.5;7.588;GRS:4FGL_J1713.8+0747[fermi21];ar4,pkssw;HE[egc+13]
66;J1718-3825;NAN;NAN;NAN;51184;348.951;-0.432;259.556521;-38.42168;0.0746699205656;1.322167E-14;247.46;1.6;14;NAN;NAN;1.7;NAN;8.887E-11;3.488;3.488;-0.026;-0.668;5.077;GRS:4FGL_J1718.2-3825[fermi21],GRS:HESS_J1718-385[aab+07];pksmb,htru_pks;HE[waa+10]
67;J1730-3350;NAN;NAN;NAN;50198;354.133;0.09;262.63566;-33.8443;0.13946021125;8.482941E-14;261.29;7.1;22;0.00355;9.2;4.3;NAN;2.36E-11;3.488;3.488;0.005;-0.357;5.03;GRS:4FGL_J1730.5-3352[fermi21];pks1,pksmb,htru_pks,FermiAssoc;HE[jlm+92,fermi21]
68;J1732-3131;NAN;NAN;NAN;54933;356.307;1.007;263.13975;-31.5231;0.196543154965;2.80483E-14;15.44;NAN;NAN;NAN;NAN;NAN;NAN;1.942E-10;0.64;0.64;0.011;-0.041;7.861;GRS:4FGL_J1732.5-3131[fermi21];FermiBlind;HE
69;J1741+1351;-8.98;-7.41;0.93;56209;37.885;21.641;265.379769744;13.862254413;0.00374715450026;3.021648E-20;24.19871;0.16;0.32;NAN;NAN;0.93;NAN;0.00000000000241;1.075;1.362;0.397;0.614;7.711;GRS:4FGL_J1741.4+1354[fermi21],OPT:[zkk+19];pkssw;HE[egc+13]
70;J1741-2054;-63;-89;NAN;54933;6.425;4.909;265.488492;-20.8992;0.41370012084;1.6983E-14;4.7;NAN;NAN;NAN;NAN;0.16;0.09;1.165E-10;0.3;0.273;0.026;0.033;8.203;GRS:4FGL_J1741.9-2054[fermi21],XRS:Swift_J174157.6-205411[crr+09],PWN:[rsc+10];FermiBlind;HE
71;J1744-1134;18.79;-9.4;2.53;54500;14.794;9.18;266.122524121;-11.58185591;0.004074545941439;8.93471E-21;3.13695;0.137;0.25;NAN;18;3.2;NAN;3.25E-11;0.395;0.148;0.063;0.1;8.123;GRS:4FGL_J1744.4-1135[fermi21];pks70,pkssw,htru_pks;HE[aaa+09f]
72;J1746-3239;NAN;NAN;NAN;55225;356.957;-2.175;266.72895;-32.6655;0.1995413598713;6.56093E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;7.231E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J1746.8-3239[fermi21];FermiBlind;NRAD
