n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
171,J0726-2612,07:26:08.1,-26:12:38.1,3.442308,2.93E-13
172,J0729-1448,07:29:16.4,-14:48:36.8,0.251659,1.13E-13
173,J0729-1836,07:29:32.3,-18:36:42.2,0.51016,1.9E-14
174,J0733-2345,07:33:24.6,-23:45:56.2,1.79625,5.7E-15
175,J0734-1559,07:34,-15:59,0.15625,1.22E-14
176,J0736-6304,07:36:20.0,-63:04:16,4.862874,1.52E-13
177,J0737-2202,07:37:44.0,-22:02:05.3,0.320366,5.47E-15
178,J0737-3039A,07:37:51.2,-30:39:40.7,0.022699,1.76E-18
179,J0737-3039B,07:37:51.2,-30:39:40.7,2.773461,8.92E-16
180,J0738-4042,07:38:32.2,-40:42:39.4,0.374921,1.38E-15
181,J0738+6904,07:38:22.6,+69:04:20,6.827693,2.7E-14
182,J0742-2822,07:42:49.0,-28:22:43.7,0.166762,1.68E-14
183,J0742+4334,07:42:42.1,+43:34:02.2,0.606191,3.71E-16
184,J0745-5353,07:45:04.4,-53:53:09.5,0.214839,2.19E-15
185,J0746-4529,07:46:59.5,-45:29:26.6,2.791025,1.67E-14
186,J0747+6646,07:47:39.6,+66:46:57,0.407701,6.78E-16
187,J0749-4247,07:49:49.6,-42:47:42.1,1.095452,9.77E-16
188,J0754+3231,07:54:40.6,+32:31:56.2,1.442349,1.08E-15
189,J0758-1528,07:58:29.0,-15:28:08.7,0.682265,1.62E-15
190,J0804-3647,08:04:22.2,-36:47:35.5,2.191987,4.21E-15
191,J0806-4123,08:06:23.4,-41:22:30.9,11.370386,5.56E-14
192,J0807-5421,08:07:47.1,-54:21:26.4,0.526644,3.78E-16
193,J0808-3937,08:08:11.6,-39:37:52.9,0.866349,4.01E-16
194,J0809-4753,08:09:43.8,-47:53:54.7,0.547202,3.08E-15
195,J0812-3905,08:12:14.8,-39:05:48.9,0.482596,4.49E-17
196,J0814+7429,08:14:59.5,+74:29:05.7,1.292241,1.68E-16
197,J0815+0939,08:15:08.7,+09:39:50.7,0.645161,1.39E-16
198,J0815+4611,08:15:59.4,+46:11:53.2,0.434242,3.9E-18
199,J0818-3049,08:18:49.3,-30:49:31,0.763742,5.8E-16
200,J0818-3232,08:18:25.9,-32:32:30.5,2.161259,7.53E-16
201,J0820-1350,08:20:26.3,-13:50:55.8,1.23813,2.11E-15
202,J0820-3826,08:20:59.9,-38:26:42.9,0.124837,2.44E-15
203,J0820-3921,08:20:49.1,-39:21:55.7,1.073567,1.22E-14
204,J0820-4114,08:20:15.4,-41:14:35.3,0.545446,2.23E-17
205,J0821-4221,08:21:44.6,-42:21:25.4,0.396728,3.48E-15
206,J0821-4300,08:21:57.3,-43:00:17.0,0.112799,9.28E-18
207,J0823+0159,08:23:09.7,+01:59:12.4,0.864873,1.05E-16
208,J0826+2637,08:26:51.5,+26:37:21.2,0.530661,1.71E-15
209,J0828-3417,08:28:16.6,-34:17:07,1.848919,9.96E-16
210,J0831-4406,08:31:32.4,-44:06:11.9,0.311674,1.28E-15
211,J0834-4159,08:34:17.8,-41:59:35.9,0.121118,4.28E-15
212,J0835-3707,08:35:03.0,-37:07:51.5,0.541404,9.78E-15
213,J0835-4510,08:35:20.6,-45:10:34.8,0.089328,1.25E-13
214,J0836-4233,08:36:05.8,-42:33:24.9,0.738436,1.32E-15
215,J0837+0610,08:37:05.6,+06:10:14.5,1.273768,6.8E-15
216,J0837-4135,08:37:21.1,-41:35:14.5,0.751625,3.54E-15
217,J0838-2621,08:38:18.8,-26:21:29.5,0.308581,3.9E-17
218,J0838-3947,08:38:30.8,-39:47:22,1.703946,8.13E-16
219,J0840-5332,08:40:33.7,-53:32:35.9,0.720614,1.64E-15
220,J0842-4851,08:42:05.3,-48:51:21.1,0.644365,9.56E-15
221,J0843-5022,08:43:09.8,-50:22:43.1,0.208956,1.72E-16
222,J0846-3533,08:46:06.0,-35:33:41.2,1.116098,1.6E-15
223,J0847-4316,08:47:57.3,-43:16:56.8,5.977493,1.2E-13
224,J0849-6322,08:49:42.5,-63:22:35.0,0.367953,7.91E-16
225,J0849+8028,08:49:01.5,+80:28:59,1.602228,4.46E-16
226,J0855-3331,08:55:38.4,-33:31:39,1.267536,6.32E-15
